HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176	geneID
0	0	0	0	0	0	0	0	0	0	ENSG00000160224.16_2
62	36	46	46	30	60	14	70	62	23	ENSG00000160226.15_4
0	0	0	0	0	0	0	0	0	0	ENSG00000160233.7_2
0	0	0	0	0	0	0	0	0	0	ENSG00000160255.17_5
0	0	0	0	0	0	0	0	0	0	ENSG00000160256.12_3
0	0	0	0	0	0	0	0	0	0	ENSG00000160282.13_2
319	282	261	132	133	410	134	327	224	178	ENSG00000160284.14_2
11	42	16	21	16	9	17	18	10	5	ENSG00000160285.14_2
658	801	753	1169	688	842	1005	612	754	725	ENSG00000160294.10_3
0	0	0	0	0	0	0	0	0	0	ENSG00000160298.17_6
0	0	0	0	0	0	0	0	0	0	ENSG00000160299.16_3
0	0	0	0	0	0	0	0	0	0	ENSG00000160305.17_4
0	0	1	0	0	0	0	1	0	0	ENSG00000160307.9_2
845	917	1103	1207	1016	1468	1154	1019	981	856	ENSG00000160310.17_2
0	1	0	1	0	4	3	1	1	0	ENSG00000166157.12
0	0	1	0	0	0	0	0	0	0	ENSG00000166265.11_2
0	0	0	0	0	0	0	0	0	0	ENSG00000166351.10_3
1	0	0	0	0	0	0	0	1	0	ENSG00000166979.12_3
0	0	1	0	0	1	0	1	0	0	ENSG00000168122.4_2
16	13	26	38	24	8	43	14	22	23	ENSG00000170262.12_3
0	0	0	0	0	0	0	0	0	0	ENSG00000171189.17_4
0	0	0	0	0	0	0	0	0	0	ENSG00000171587.14_3
9	5	9	15	6	15	21	9	9	11	ENSG00000173231.6_4
0	0	0	0	0	0	0	0	0	0	ENSG00000173276.13_2
705	432	580	858	475	954	490	977	825	428	ENSG00000173638.18_4
0	0	0	0	0	0	0	0	0	0	ENSG00000174680.9_5
0	0	0	0	0	0	0	0	0	0	ENSG00000175302.5_4
0	1	1	0	0	4	0	0	1	1	ENSG00000175894.16_5
0	0	0	0	0	0	0	0	0	0	ENSG00000176054.6_2
0	0	0	0	0	0	0	0	0	0	ENSG00000177398.18_3
0	0	0	0	0	0	0	0	0	0	ENSG00000177692.11_2
0	0	0	0	0	0	0	0	0	0	ENSG00000178457.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000179381.8_3
0	0	1	1	0	0	0	0	0	0	ENSG00000180509.11_4
82	92	109	136	42	104	106	76	91	80	ENSG00000180530.10_3
129	71	139	169	150	104	201	148	160	112	ENSG00000182093.15_3
0	0	0	0	0	0	0	0	0	0	ENSG00000182240.15_3
0	0	0	0	0	0	0	0	0	0	ENSG00000182362.13_2
17	29	20	41	15	22	24	12	23	24	ENSG00000182586.8_2
0	0	0	0	0	0	0	0	0	0	ENSG00000182591.5_2
0	0	0	0	0	0	0	0	0	0	ENSG00000182670.13_3
0	0	0	0	0	0	0	0	0	0	ENSG00000182816.8_3
62	77	43	94	33	48	39	72	58	40	ENSG00000182871.14_3
1	1	2	2	0	2	1	6	3	2	ENSG00000182912.6_4
0	0	0	0	0	0	0	0	0	0	ENSG00000183036.10_2
0	0	0	0	0	0	0	0	0	0	ENSG00000183067.5_2
0	0	0	0	0	0	0	0	0	0	ENSG00000183145.8_2
0	0	0	0	0	0	0	0	0	0	ENSG00000183249.8_2
0	0	0	0	0	0	0	0	0	0	ENSG00000183250.11_4
0	0	0	0	0	0	0	0	0	0	ENSG00000183255.11_3
2	2	10	1	1	0	2	1	0	0	ENSG00000183421.11_2
0	0	0	0	0	0	0	0	0	0	ENSG00000183486.12_3
0	0	0	0	0	0	0	0	0	0	ENSG00000183527.11_2
0	0	0	0	0	0	0	0	0	0	ENSG00000183535.9_4
