sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	protein_ID
42320	25278	0	70817	42848	116118	67276	0	18083	0	69107	50817	63023	13977	71971	93053	37180	121831	12031	6038	21157	0	0	117772	69572	59676	0	35867	24712	0	89148	64480	19407	95860	20043	37046	0	24797	6701	0	40928	36478	9968	40868	74265	56552	20049	0	27517	57726	22336	6689	0	61124	82164	35230	22381	0	44905	18006	0	21500	30211	53834	protein_11
495806	629868	70747	212703	409379	79532	732158	357143	192964	208274	170670	311657	313542	235887	138949	44903	545286	65591	554322	50175	281790	46091	32385	82455	259586	206203	54185	81160	879375	64449	682292	193202	818508	417560	219607	28725	126718	309624	54812	135051	156587	179547	171635	110649	321170	78969	248201	54064	268654	334411	251798	51676	75261	42914	860113	203229	219281	0	164056	246490	123073	300731	853781	39229	protein_12
317908	206203	242385	996974	443906	1318887	606528	331745	2079514	550202	194104	1155068	1382475	1519942	204254	947441	530949	1042374	162650	72103	2502975	227658	204641	1379246	1403312	910807	186791	1128318	261584	339716	705725	779798	233281	205799	1919136	1043814	535824	1315471	69028	601255	925544	2079719	2143145	1188016	161836	1444106	903260	209214	1783986	949789	2154253	78381	307843	2072032	768903	1409205	1964487	658541	1396689	1741423	372857	1239171	439086	1306410	protein_13
1329922	2231560	1417482	2365240	1746144	2097560	1708758	1410958	2535923	7611094	2153301	1612085	2148026	1737978	2058613	1904684	1869512	2374759	1410170	2172428	3197416	1355056	1243334	2340486	2649777	1858293	1436711	1083574	2795120	3831005	2054171	1670568	2558852	1850563	3527274	683698	1423335	1366136	2137506	1391586	1260945	2885677	2529829	1797375	1761859	1387979	1003925	1442592	1505591	1513275	2880448	2090522	582588	829595	2461816	1404740	2753593	1656279	1675309	3267458	2868473	1397429	3208253	759934	protein_14
1405460	3253867	1270079	3610474	915586	655710	1908957	1120648	1785454	1043086	0	3429703	3390548	1235976	0	528583	1091474	519114	1893089	1769206	2181662	899512	910613	506967	4281162	15695981	1253095	808501	3137546	642151	1932832	12391890	2375861	1041942	1171560	2983030	3876999	1612837	1833856	3773018	256792	2134924	1019692	326486	984421	294670	1536639	1179440	1945006	12528305	1904959	1566514	2248968	4710602	2670772	1692737	2122801	1405071	344399	1268798	763560	1575886	3620218	4418787	protein_15
3406167	6118913	3211394	5796289	2381528	1032272	6165124	1833829	3707668	2875398	3696764	3786265	3929356	2411986	3930019	731525	2011681	913468	3745960	2951289	4146386	2985705	2744918	1068972	5745444	3835590	3424005	1965800	5728743	1978216	6458310	4259257	6148806	3467071	4265310	1403553	1994730	2919484	2765984	2427079	1006199	3884862	3385162	1296571	3789799	1158981	2419941	3249611	3368363	3313494	4265798	3040323	1260585	2218823	6269068	3743471	2885175	2708977	1272695	4583282	2149852	2961006	9447374	2079898	protein_16
629499	933102	346812	689255	438345	261166	1084850	400008	376147	800542	331786	693247	624267	412853	371255	207039	535447	278241	410881	448752	456358	336884	484125	255329	989228	739460	407909	820731	693707	313118	1306600	848920	817325	1085311	737245	212660	194850	293303	297454	243725	88667	425600	513889	69393	754343	39096	285127	498415	439725	580790	577199	481154	132107	163928	1084942	590967	354568	372864	48933	601327	435226	283908	1416146	239443	protein_17
3925280	3959854	1927126	2732624	2606813	2468729	3584077	2046523	2867196	3967892	2361340	2792119	2959198	3742977	2894684	2712975	2234145	2694982	4078356	2200137	3510573	2547690	2209531	2613583	4845035	4210668	1963334	3375650	8530815	3483587	4366047	3599616	4991024	6833425	3592725	1497109	3444122	1906504	2978303	2836785	2254295	3346013	4136000	1855398	4652201	2726179	1917058	2302947	3384638	3236884	3193569	1982347	1167835	1901291	6262734	2141821	3718498	2010512	2171711	2259873	2495884	2362310	7454784	1473440	protein_18
50116	38034	0	38795	11340	6410	119583	0	46786	0	0	11015	26458	9505	0	5823	16963	6898	20151	22201	78983	0	0	8324	38100	0	0	30273	27176	0	118133	0	26650	16133	21686	49963	203006	22104	12543	158228	0	68823	18438	0	34117	0	37021	0	30570	0	50661	21842	49236	73698	76000	53063	37335	0	0	20165	0	40006	52517	62097	protein_19
5860686	6867299	7280416	5889369	3177038	3929262	6004700	3980615	2383016	8629707	6863750	4541659	5170996	5547678	5754183	3262426	4463143	3135766	4017289	5049217	3144122	6071943	5696467	3314369	6898025	6456163	7259154	2716882	6709326	4029070	7057037	7341215	6209790	6134796	6020493	3332255	4971567	4171448	4763733	4705197	3469836	4881554	6309571	3397995	4890535	3326368	3440773	6643744	3197934	7371852	1810792	4939708	3291709	3865264	8045751	4217494	3279708	4025979	3571945	9010021	6401792	3679968	8868518	4344753	protein_20
